,住址,行政區,物件說明,面積,房,衛,廳,物件類型,物件位於幾樓,物件共幾樓,管理費用,租金
961,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
962,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
963,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
964,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
965,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
966,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
967,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
968,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
969,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
970,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
971,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
972,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
973,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
974,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
975,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
976,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
977,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
978,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
979,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
980,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
981,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
982,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
983,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
984,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
985,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
986,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
987,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
988,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
989,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
990,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
991,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
992,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
993,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
994,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
995,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
996,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
997,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
998,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
999,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1000,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1001,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1002,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1003,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1004,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1005,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1006,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1007,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1008,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1009,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1010,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1011,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1012,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1013,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1014,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1015,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1016,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1017,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1018,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1019,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1020,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1021,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1022,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1023,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1024,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1025,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1026,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1027,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1028,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1029,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1030,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1031,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1032,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1033,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1034,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1035,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1036,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1037,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1038,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1039,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1040,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1041,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1042,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1043,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1044,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1045,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1046,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1047,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1048,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1049,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1050,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1051,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1052,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1053,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1054,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1055,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1056,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1057,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1058,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1059,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1060,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1061,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1062,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1063,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1064,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1065,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1066,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1067,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1068,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1069,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1070,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1071,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1072,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1073,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1074,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1075,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1076,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1077,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1078,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1079,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1080,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1081,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1082,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1083,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1084,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1085,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1086,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1087,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1088,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1089,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1090,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1091,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1092,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1093,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1094,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1095,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1096,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1097,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1098,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1099,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1100,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1101,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1102,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1103,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1104,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1105,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1106,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1107,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1108,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1109,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1110,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1111,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1112,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1113,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1114,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1115,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1116,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1117,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1118,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1119,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
1120,台中市南屯區保安五街17號,南屯區,💗租｜南屯嶺東｜2房2衛｜平面車位,16.0,2.0,2.0,2.0,整層住家,8,12,,26000.0
1121,台中市南屯區東興路二段,南屯區,三改二大空間❤️兩間更衣室❤️可寵,25.0,2.0,1.0,2.0,整層住家,5,14,"1,525元/月",28000.0
1122,台中市南屯區忠勇路,南屯區,電梯可貓百萬採光室內機車位可報稅,10.0,,,,車位,7,7,,13000.0
1123,台中市南屯區保安十街,南屯區,近嶺東科大精科全新套房獨陽獨洗曬,10.0,1.0,1.0,0.0,獨立套房,2,5,無,11500.0
1124,台中市南屯區東興西街9號,南屯區,南屯好市多商圈。兩房一廳,12.0,1.0,1.0,0.0,獨立套房,7,12,"1,300元/月",18000.0
1125,台中市南屯區永春路,南屯區,正永春路8米大面寬店面出租可三照,85.0,0.0,0.0,0.0,店面,1,2,,68000.0
1126,台中市南屯區東興東街,南屯區,五期裝潢三房＋車位,37.17,3.0,2.0,2.0,住宅,6,6,"$1,000元(已含租金內)",30000.0
1127,台中市南屯區大進街,南屯區,✌️秒殺全新電梯近勤美✌️陽台獨洗✌️流理台,13.0,,,,住宅,3,5,1000,11999.0
1128,台中市南屯區向上南路一段,南屯區,大地坪面寬雙店面,89.0,0.0,0.0,0.0,店面,1,2,無,120000.0
1129,台中市南屯區保安十街,南屯區,整棟全新⭐台水電⭐室內機車⭐乾溼分離⭐可家庭⭐嶺東,12.5,,,,住宅,2,5,1000,14000.0
1130,台中市南屯區向上路二段,南屯區,三房兩衛✅一層三戶✅稀有地段大空間✅全配,35.0,3.0,2.0,2.0,整層住家,4,12,"2,850元/月",27999.0
1131,台中市南屯區大墩路,南屯區,✅電梯✅傢俱電全配✅台水電✅管理員✅廚房,40.0,3.0,2.0,2.0,整層住家,4,8,"2,850元/月",28000.0
1132,台中市南屯區文山路,南屯區,生活機能便利❤採光超好❤有浴缸,15.0,1.0,1.0,1.0,整層住家,8,9,"1,000元/月",14500.0
1133,台中市南屯區益昌六街8號,南屯區,『南屯』惠宇精裝三改二大空間平車超值美屋,50.2,2.0,2.0,2.0,整層住家,12,21,,45000.0
1134,台中市南屯區向上路三段67號,南屯區,舒適套房~黎明商圈社區24H管理!,5.0,1.0,1.0,0.0,獨立套房,7,14,,7000.0
1135,台中市南屯區保安十街,南屯區,嶺東精科全新❤️陽台獨洗乾濕分離❤️可報稅租補戶籍,10.0,1.0,1.0,,住宅,4,5,1001,9999.0
1136,台中市南屯區文心路一段214號,南屯區,財屋近捷運文心森林公園2+1房,31.0,2.0,2.0,1.0,整層住家,7,22,"2,200元/月",21000.0
1137,台中市南屯區嶺東南路,南屯區,質感大3房💖家具電全配💖全新完工,33.0,3.0,2.0,2.0,整層住家,3,13,"2,000元/月",29000.0
1138,台中市南屯區嶺東南路,南屯區,全新裝潢大三房🔆傢俱電全配~含平面車位,33.0,3.0,2.0,1.0,整層住家,3,15,,29999.0
1139,台中市南屯區南屯路二段235巷,南屯區,八期好市多永春國小旁全棟透店出租,80.0,5.0,3.0,3.0,住宅、辦公,1,4,無,38000.0
